day,price_close,price_high,price_low,price_open
2018-12-01,3977.0,3990.0,3904.34,3970.56
2018-11-30,3971.06,4300.0,3861.0,4250.0
2018-11-29,4249.8,4409.77,4086.97,4219.77
2018-11-28,4220.16,4355.08,3771.0,3771.01
2018-11-27,3771.01,3834.35,3548.76,3727.34
2018-11-26,3727.34,4069.59,3522.28,3934.22
2018-11-25,3938.89,4120.0,3474.73,3780.67
2018-11-24,3785.65,4376.88,3638.48,4288.25
2018-11-23,4288.26,4364.46,4061.02,4268.4
2018-11-22,4275.23,4589.53,4194.98,4551.47
2018-11-21,4538.01,4635.0,4242.33,4349.41
2018-11-20,4352.0,4897.36,4048.58,4732.92
2018-11-19,4735.44,5559.69,4694.44,5553.01
2018-11-18,5559.26,5658.47,5500.0,5503.36
2018-11-17,5503.36,5550.66,5452.63,5514.62
2018-11-16,5508.71,5610.0,5411.74,5571.12
2018-11-15,5585.0,5641.0,5199.8,5592.23
2018-11-14,5595.91,6298.47,5324.0,6255.86
2018-11-13,6260.91,6328.36,6244.35,6318.01
2018-11-12,6318.0,6388.21,6298.5,6352.57
2018-11-11,6357.54,6365.0,6269.46,6349.39
2018-11-10,6349.32,6377.26,6323.0,6325.0
2018-11-09,6325.0,6418.18,6307.0,6405.49
2018-11-08,6405.49,6511.27,6388.88,6501.0
2018-11-07,6501.0,6544.0,6442.47,6448.17
2018-11-06,6447.5,6460.01,6378.24,6404.97
2018-11-05,6403.2,6441.43,6369.89,6428.23
2018-11-04,6421.76,6475.0,6310.57,6333.59
2018-11-03,6335.0,6351.74,6312.48,6350.05
2018-11-02,6350.43,6381.25,6328.33,6343.85
2018-11-01,6340.99,6365.33,6288.01,6304.5
2018-10-31,6303.27,6350.0,6199.25,6269.45
2018-10-30,6269.46,6289.0,6240.0,6266.47
2018-10-29,6266.52,6420.0,6208.37,6404.27
2018-10-28,6405.57,6420.0,6383.0,6407.66
2018-10-27,6407.66,6420.01,6381.25,6406.1
2018-10-26,6406.1,6450.3,6377.81,6393.38
2018-10-25,6393.53,6422.73,6361.73,6411.96
2018-10-24,6411.96,6473.0,6393.0,6396.24
2018-10-23,6393.41,6421.58,6354.26,6409.39
2018-10-22,6406.06,6429.23,6372.53,6412.62
2018-10-21,6413.38,6470.0,6401.01,6412.86
2018-10-20,6412.86,6424.16,6363.02,6380.47
2018-10-19,6383.46,6412.4,6355.99,6394.23
2018-10-18,6396.18,6490.0,6350.0,6440.07
2018-10-17,6437.29,6465.39,6407.69,6457.67
2018-10-16,6461.2,6493.77,6386.4,6438.2
2018-10-15,6441.74,6756.0,6149.28,6185.04
2018-10-14,6183.0,6349.47,6143.08,6201.23
2018-10-13,6199.69,6219.77,6168.83,6182.03
2018-10-12,6185.15,6243.79,6109.79,6152.76
2018-10-11,6152.76,6520.43,6055.28,6517.55
2018-10-10,6517.55,6589.79,6387.91,6588.72
2018-10-09,6588.8,6623.14,6553.13,6604.76
2018-10-08,6604.75,6656.63,6541.06,6574.15
2018-10-07,6577.63,6600.0,6493.92,6547.93
2018-10-06,6544.08,6595.69,6526.28,6582.11
2018-10-05,6582.12,6641.35,6510.0,6548.83
2018-10-04,6547.56,6604.89,6450.58,6454.81
2018-10-03,6456.77,6510.0,6396.34,6500.0
2018-10-02,6500.0,6597.0,6447.28,6569.32
2018-10-01,6571.2,6638.15,6477.57,6597.79
2018-09-30,6597.81,6628.06,6510.0,6574.29
2018-09-29,6579.38,6609.02,6454.0,6609.02
2018-09-28,6610.76,6792.28,6525.67,6684.5
2018-09-27,6681.62,6736.85,6431.95,6454.32
2018-09-26,6461.51,6540.0,6379.44,6428.09
2018-09-25,6428.99,6579.59,6324.96,6578.7
2018-09-24,6581.52,6721.68,6550.96,6703.37
2018-09-23,6702.22,6774.91,6659.0,6710.01
2018-09-22,6710.01,6826.28,6624.79,6748.85
2018-09-21,6749.45,6775.34,6483.83,6492.98
2018-09-20,6492.98,6535.11,6333.63,6388.4
2018-09-19,6388.4,6510.0,6100.0,6330.0
2018-09-18,6332.34,6390.0,6226.63,6251.49
2018-09-17,6254.52,6530.24,6200.0,6499.28
2018-09-16,6499.98,6524.84,6349.47,6521.49
2018-09-15,6520.15,6570.1,6466.74,6476.51
2018-09-14,6476.51,6587.0,6384.36,6482.95
2018-09-13,6485.7,6537.46,6324.37,6326.83
2018-09-12,6322.45,6350.0,6192.89,6274.6
2018-09-11,6279.99,6405.0,6162.06,6303.99
2018-09-10,6301.99,6351.13,6223.9,6238.99
2018-09-09,6236.04,6451.51,6094.38,6178.31
2018-09-08,6178.31,6465.46,6113.23,6401.01
2018-09-07,6400.0,6525.0,6322.0,6488.01
2018-09-06,6493.09,6705.59,6253.29,6671.95
2018-09-05,6679.3,7387.0,6650.0,7353.48
2018-09-04,7361.0,7411.85,7231.0,7261.29
2018-09-03,7258.99,7340.08,7184.0,7291.94
2018-09-02,7290.31,7334.5,7130.63,7195.8
2018-09-01,7185.01,7300.18,7015.22,7015.78
2018-08-31,7017.35,7101.03,6879.0,6984.34
2018-08-30,6984.01,7055.97,6792.85,7034.47
2018-08-29,7032.96,7124.06,6890.0,7079.46
2018-08-28,7080.94,7125.28,6861.17,6911.7
2018-08-27,6904.51,6944.47,6641.35,6700.13
2018-08-26,6700.46,6775.34,6558.95,6732.99
2018-08-25,6732.4,6800.0,6664.25,6692.99
2018-08-24,6692.94,6721.09,6445.32,6525.99
2018-08-23,6525.01,6575.99,6344.8,6355.97
2018-08-22,6355.76,6906.81,6250.0,6478.99
2018-08-21,6479.27,6513.28,6246.05,6260.83
2018-08-20,6260.82,6522.99,6223.9,6481.63
2018-08-19,6481.99,6545.0,6312.0,6397.37
2018-08-18,6399.28,6615.0,6303.0,6578.13
2018-08-17,6580.15,6584.49,6290.64,6314.08
2018-08-16,6313.51,6477.57,6208.37,6273.34
2018-08-15,6272.3,6628.5,6186.02,6194.3
2018-08-14,6193.62,6254.02,5880.0,6252.63
2018-08-13,6252.63,6544.37,6142.2,6311.99
2018-08-12,6310.82,6493.77,6163.44,6240.49
2018-08-11,6239.98,6494.13,6000.0,6139.99
2018-08-10,6139.99,6584.05,5995.75,6544.98
2018-08-09,6543.76,6627.0,6190.01,6283.89
2018-08-08,6283.59,6717.68,6121.0,6717.67
2018-08-07,6717.68,7155.0,6671.0,6932.18
2018-08-06,6936.11,7157.93,6835.06,7028.89
2018-08-05,7032.61,7086.8,6888.88,7009.94
2018-08-04,7009.99,7494.48,6926.0,7416.98
2018-08-03,7416.98,7542.92,7286.41,7535.0
2018-08-02,7536.37,7709.98,7455.0,7600.22
2018-08-01,7602.01,7761.56,7440.0,7726.85
2018-07-31,7725.43,8162.37,7633.67,8162.28
2018-07-30,8160.21,8295.0,7853.01,8216.74
2018-07-29,8216.74,8299.99,8109.74,8231.07
2018-07-28,8237.74,8259.0,8051.43,8177.72
2018-07-27,8183.05,8274.98,7798.48,7926.0
2018-07-26,7926.0,8314.23,7855.97,8174.06
2018-07-25,8174.06,8475.0,8049.22,8394.48
2018-07-24,8403.83,8496.96,7691.14,7712.46
2018-07-23,7719.62,7800.0,7369.86,7393.5
2018-07-22,7396.6,7581.03,7336.15,7398.16
2018-07-21,7409.92,7458.0,7212.0,7330.84
2018-07-20,7330.84,7696.88,7265.0,7474.35
2018-07-19,7471.42,7570.9,7278.84,7384.92
2018-07-18,7374.88,7599.98,7239.15,7310.71
2018-07-17,7310.71,7468.31,6657.95,6721.21
2018-07-16,6721.04,6755.0,6333.63,6353.25
2018-07-15,6349.3,6397.21,6227.76,6245.99
2018-07-14,6243.98,6317.84,6180.0,6208.78
2018-07-13,6215.59,6337.25,6121.01,6243.53
2018-07-12,6243.88,6380.0,6072.0,6379.13
2018-07-11,6380.0,6400.0,6285.0,6304.45
2018-07-10,6299.46,6683.9,6270.84,6666.75
2018-07-09,6666.75,6814.72,6620.0,6706.6
2018-07-08,6706.6,6783.54,6674.6,6755.46
2018-07-07,6759.99,6820.0,6510.0,6604.74
2018-07-06,6596.53,6636.15,6449.76,6533.69
2018-07-05,6533.69,6700.0,6445.31,6575.62
2018-07-04,6584.25,6792.28,6413.2,6507.99
2018-07-03,6507.99,6666.0,6464.39,6605.46
2018-07-02,6612.98,6667.57,6270.69,6345.48
2018-07-01,6349.99,6438.55,6259.34,6385.75
2018-06-30,6385.71,6510.0,6190.28,6204.01
2018-06-29,6204.24,6299.0,5774.72,5845.2
2018-06-28,5848.33,6165.49,5818.14,6135.64
2018-06-27,6135.64,6181.11,5985.0,6073.99
2018-06-26,6068.0,6277.0,6025.68,6252.28
2018-06-25,6253.61,6365.34,6075.01,6153.6
2018-06-24,6153.4,6255.05,5780.0,6169.91
2018-06-23,6177.38,6261.0,6048.54,6055.17
2018-06-22,6050.45,6737.97,5940.0,6718.33
2018-06-21,6718.33,6792.2,6677.85,6756.6
2018-06-20,6756.58,6809.26,6558.95,6728.44
2018-06-19,6736.52,6841.81,6660.21,6711.3
2018-06-18,6707.5,6793.0,6381.25,6451.03
2018-06-17,6453.41,6575.35,6429.23,6487.92
2018-06-16,6487.92,6557.81,6333.63,6390.6
2018-06-15,6390.6,6666.66,6370.0,6638.8
2018-06-14,6646.1,6708.1,6270.69,6308.49
2018-06-13,6307.4,6624.45,6120.0,6557.66
2018-06-12,6557.67,6880.76,6461.42,6880.76
2018-06-11,6880.61,6919.97,6634.86,6781.17
2018-06-10,6781.17,7498.0,6627.7,7498.0
2018-06-09,7492.7,7686.45,7468.31,7618.11
2018-06-08,7618.11,7697.0,7542.0,7676.41
2018-06-07,7689.28,7750.0,7618.99,7658.99
2018-06-06,7658.57,7695.46,7482.61,7617.98
2018-06-05,7617.98,7685.0,7360.0,7494.99
2018-06-04,7488.26,7764.44,7449.68,7712.97
2018-06-03,7703.67,7790.69,7581.03,7642.0
2018-06-02,7642.0,7700.0,7438.92,7511.72
2018-06-01,7511.6,7620.01,7348.45,7492.28
2018-05-31,7492.28,7601.23,7330.22,7375.64
2018-05-30,7375.73,7559.0,7273.89,7469.45
2018-05-29,7469.45,7537.0,7026.9,7112.2
2018-05-28,7112.5,7445.0,7084.99,7348.64
2018-05-27,7347.39,7412.57,7213.09,7335.99
2018-05-26,7335.99,7622.87,7276.04,7459.21
2018-05-25,7471.18,7661.07,7328.13,7579.3
2018-05-24,7586.88,7733.99,7267.24,7509.99
2018-05-23,7502.89,8032.01,7435.49,7983.98
2018-05-22,7984.08,8417.65,7951.41,8403.23
2018-05-21,8391.76,8589.1,8320.0,8518.64
2018-05-20,8518.48,8590.0,8170.71,8225.55
2018-05-19,8231.2,8395.0,8141.08,8248.99
2018-05-18,8248.87,8275.1,7929.53,8058.16
2018-05-17,8067.03,8500.0,7980.0,8337.77
2018-05-16,8346.59,8505.33,8100.01,8481.99
2018-05-15,8474.99,8865.0,8400.0,8674.53
2018-05-14,8674.36,8900.9,8286.57,8696.54
2018-05-13,8696.58,8775.9,8335.56,8481.72
2018-05-12,8481.6,8652.8,8208.81,8408.79
2018-05-11,8411.42,9018.38,8351.0,9007.19
2018-05-10,9020.99,9393.0,8987.74,9308.49
2018-05-09,9308.49,9368.79,8974.62,9181.52
2018-05-08,9167.69,9450.0,9015.0,9356.79
2018-05-07,9359.52,9634.5,9175.0,9621.99
2018-05-06,9623.54,9918.41,9375.0,9827.04
2018-05-05,9823.28,9948.98,9670.68,9689.0
2018-05-04,9696.57,9784.73,9527.38,9737.0
2018-05-03,9732.43,9799.99,9165.19,9220.0
2018-05-02,9222.0,9259.16,8975.23,9066.9
2018-05-01,9066.9,9249.99,8815.91,9243.51
2018-04-30,9242.17,9443.96,9111.0,9396.32
2018-04-29,9393.99,9538.75,9180.0,9352.97
2018-04-28,9345.11,9442.34,8854.47,8916.54
2018-04-27,8921.43,9387.82,8901.09,9277.32
2018-04-26,9274.48,9326.79,8647.29,8855.07
2018-04-25,8864.99,9755.53,8751.0,9648.36
2018-04-24,9648.0,9737.16,8930.0,8942.0
2018-04-23,8946.95,9006.39,8771.22,8781.7
2018-04-22,8789.96,9036.52,8760.0,8924.93
2018-04-21,8920.71,9023.4,8608.0,8865.78
2018-04-20,8861.0,8934.0,8216.9,8273.0
2018-04-19,8271.31,8297.99,8074.44,8172.83
2018-04-18,8172.84,8235.0,7870.35,7890.87
2018-04-17,7890.87,8160.85,7806.81,8054.68
2018-04-16,8048.15,8424.99,7905.0,8353.43
2018-04-15,8354.22,8417.0,8001.23,8003.39
2018-04-14,8000.41,8232.14,7835.0,7885.9
2018-04-13,7896.92,8239.33,7753.32,7923.78
2018-04-12,7923.78,8069.34,6758.45,6940.94
2018-04-11,6940.94,6984.92,6809.26,6824.75
2018-04-10,6835.67,6900.0,6653.21,6782.39
2018-04-09,6780.1,7175.83,6611.49,7027.26
2018-04-08,7027.26,7104.52,6894.8,6904.21
2018-04-07,6904.9,7069.13,6600.99,6627.7
2018-04-06,6618.33,6850.0,6510.0,6771.3
2018-04-05,6771.69,6928.7,6578.95,6799.37
2018-04-04,6799.95,7430.0,6710.38,7415.53
2018-04-03,7416.27,7506.84,7001.28,7052.75
2018-04-02,7052.76,7106.5,6759.96,6816.31
2018-04-01,6813.52,7045.71,6427.16,6926.5
2018-03-31,6928.62,7231.73,6794.26,6839.63
2018-03-30,6850.0,7302.35,6550.0,7086.14
2018-03-29,7088.38,7968.0,6914.53,7932.41
2018-03-28,7932.41,8104.98,7723.03,7791.69
2018-03-27,7791.7,8211.62,7742.11,8152.26
2018-03-26,8149.66,8500.0,7831.15,8451.12
2018-03-25,8453.9,8680.0,8368.63,8541.96
2018-03-24,8547.0,9020.0,8505.0,8917.99
2018-03-23,8920.79,8920.79,8265.0,8708.52
2018-03-22,8704.67,9099.59,8503.52,8892.18
2018-03-21,8893.79,9188.1,8754.83,8904.02
2018-03-20,8904.02,9051.0,8313.01,8596.79
2018-03-19,8596.93,8718.74,8114.17,8205.55
2018-03-18,8188.24,8324.92,7325.37,7860.83
2018-03-17,7860.83,8356.4,7730.23,8258.54
2018-03-16,8258.54,8613.06,7914.08,8265.05
2018-03-15,8265.05,8425.0,7682.0,8195.99
2018-03-14,8196.69,9356.14,7948.0,9152.07
2018-03-13,9142.32,9482.79,8830.0,9115.24
2018-03-12,9120.75,9892.0,8742.07,9535.04
2018-03-11,9535.04,9768.37,8450.0,8795.04
2018-03-10,8791.47,9514.96,8697.0,9228.83
2018-03-09,9230.0,9420.39,8366.0,9293.06
2018-03-08,9285.32,10150.0,9078.95,9904.52
2018-03-07,9913.03,10911.78,9450.0,10723.01
2018-03-06,10723.76,11420.01,10560.19,11417.39
2018-03-05,11419.24,11688.0,11383.66,11479.68
2018-03-04,11463.27,11511.0,11054.91,11445.0
2018-03-03,11445.0,11503.24,11022.85,11032.81
2018-03-02,11029.99,11175.0,10774.01,10917.37
2018-03-01,10903.13,11090.0,10223.41,10314.99
2018-02-28,10314.9,11064.75,10255.07,10572.49
2018-02-27,10566.3,10850.0,10150.0,10329.99
2018-02-26,10324.7,10461.97,9376.34,9595.99
2018-02-25,9590.04,9883.41,9260.0,9688.26
2018-02-24,9689.99,10540.63,9373.48,10135.2
2018-02-23,10166.1,10405.3,9600.0,9843.33
2018-02-22,9843.34,10935.0,9731.2,10446.79
2018-02-21,10449.4,11275.74,10256.0,11233.42
2018-02-20,11233.41,11780.0,11080.37,11159.12
2018-02-19,11173.0,11262.48,10307.51,10433.68
2018-02-18,10421.06,11300.0,10153.15,11101.0
2018-02-17,11101.0,11135.83,10053.5,10203.14
2018-02-16,10196.0,10300.0,9707.51,10011.3
2018-02-15,10018.0,10234.0,9350.0,9490.98
2018-02-14,9490.98,9515.0,8504.57,8504.57
2018-02-13,8522.99,8951.89,8360.13,8891.2
2018-02-12,8899.0,8995.0,8067.0,8077.25
2018-02-11,8067.0,8560.0,7820.0,8560.0
2018-02-10,8560.0,9090.8,8170.86,8693.98
2018-02-09,8693.98,8779.62,7753.32,8259.42
2018-02-08,8259.76,8644.36,7565.5,7588.01
2018-02-07,7588.01,8649.0,7213.8,7737.26
2018-02-06,7737.37,8150.0,5920.72,6878.65
2018-02-05,6874.27,8335.56,6600.0,8190.78
2018-02-04,8191.0,9350.09,7825.0,9225.31
2018-02-03,9225.86,9491.2,8170.71,8838.29
2018-02-02,8838.83,9096.78,7625.25,9010.87
2018-02-01,8998.99,10187.56,8455.0,10148.99
2018-01-31,10149.0,10324.0,9514.96,9971.0
2018-01-30,9971.0,11222.36,9731.2,11162.62
2018-01-29,11162.62,11820.01,10991.0,11685.58
2018-01-28,11685.58,11989.15,11360.52,11446.54
2018-01-27,11446.54,11630.47,10815.84,11093.74
2018-01-26,11092.95,11635.0,10263.32,11140.01
2018-01-25,11155.54,11741.82,10868.57,11400.98
2018-01-24,11400.96,11500.0,10488.13,10848.99
2018-01-23,10851.82,11409.87,9927.54,10810.0
2018-01-22,10808.99,11910.78,10028.41,11558.87
2018-01-21,11558.87,12791.88,11100.0,12782.99
2018-01-20,12775.99,13052.12,11515.94,11560.82
2018-01-19,11552.0,12050.39,11025.18,11290.9
2018-01-18,11247.57,12146.0,10693.0,11199.0
2018-01-17,11191.35,11794.07,9222.0,11393.97
2018-01-16,11386.34,13607.04,10162.0,13581.66
2018-01-15,13607.04,14394.36,13429.25,13647.99
2018-01-14,13647.99,14365.81,13072.22,14197.78
2018-01-13,14197.78,14619.1,13789.42,13829.28
2018-01-12,13781.41,14152.19,12807.27,13249.99
2018-01-11,13243.83,14973.07,12800.0,14899.99
2018-01-10,14890.02,14900.0,13412.0,14403.51
2018-01-09,14403.51,15367.18,14123.97,14999.99
2018-01-08,14999.99,16300.0,13900.0,16173.98
2018-01-07,16124.02,17149.97,15707.16,17142.43
2018-01-06,17149.67,17234.99,16220.0,16927.99
2018-01-05,16928.0,17200.0,14810.0,15143.67
2018-01-04,15143.67,15430.27,14192.37,15155.62
2018-01-03,15155.62,15500.0,14546.28,14670.96
2018-01-02,14678.94,15257.53,12910.58,13394.2
2018-01-01,13443.41,13941.75,12801.38,13880.0
2017-12-31,13880.0,14296.06,12491.21,12640.0
2017-12-30,12640.0,14463.28,12050.0,14351.0
2017-12-29,14340.0,15111.0,13998.0,14436.99
2017-12-28,14470.07,15474.19,13500.0,15390.05
2017-12-27,15364.93,16480.52,14484.0,15764.45
2017-12-26,15764.44,16147.87,13746.95,13925.5
2017-12-25,13911.28,14650.0,13210.0,14107.87
2017-12-24,14157.87,14619.1,12488.0,14619.0
2017-12-23,14619.0,15756.22,13496.48,13980.0
2017-12-22,14009.79,15795.61,11159.93,15600.0
2017-12-21,15600.01,17281.17,15005.0,16466.98
2017-12-20,16466.98,17950.0,15343.04,17700.0
2017-12-19,17700.0,19160.79,16831.26,18940.58
2017-12-18,18940.57,19220.0,17835.2,18953.0
2017-12-17,18953.0,19666.0,18465.0,19187.78
2017-12-16,19187.78,19377.0,17269.99,17477.98
2017-12-15,17471.5,17934.0,16337.19,16404.99
2017-12-14,16404.99,16830.45,15852.69,16245.02
2017-12-13,16250.0,17107.03,15497.69,16650.01
2017-12-12,16650.01,17428.42,15967.29,16470.0
2017-12-11,16470.0,17270.0,14677.19,14690.99
2017-12-10,14691.0,15385.0,13011.0,14601.01
2017-12-09,14607.49,15998.5,12701.05,15799.87
2017-12-08,15800.0,16666.66,13482.42,16599.99
2017-12-07,16599.99,16615.62,13085.9,13623.0
2017-12-06,13623.5,13700.0,11659.8,11676.99
2017-12-05,11677.0,11850.0,11384.25,11613.07
2017-12-04,11613.07,11613.07,10850.0,11250.0
2017-12-03,11250.0,11800.01,10513.16,10875.68
2017-12-02,10872.0,11200.0,10637.69,10840.45
2017-12-01,10840.45,10949.89,9370.11,9935.0
2017-11-30,9947.67,10618.29,9000.0,9833.7
2017-11-29,9824.68,11395.0,9250.0,9877.63
2017-11-28,9868.82,9968.0,9582.25,9708.06
2017-11-27,9708.07,9721.7,9267.0,9278.99
2017-11-26,9271.06,9366.6,8538.2,8718.0
2017-11-25,8717.99,8737.0,8114.78,8199.83
2017-11-24,8199.19,8340.0,7876.0,7988.96
2017-11-23,7989.0,8279.76,7980.0,8214.69
2017-11-22,8214.69,8310.89,8045.76,8095.19
2017-11-21,8095.23,8354.46,7770.0,8226.14
