day,price_close,price_high,price_low,price_open
2018-12-01,112.89,112.93,109.99,111.82
2018-11-30,111.9,119.08,108.83,116.6
2018-11-29,116.46,123.21,113.05,121.85
2018-11-28,121.81,125.57,108.51,108.67
2018-11-27,108.47,111.22,99.0,107.02
2018-11-26,106.82,117.59,102.69,113.55
2018-11-25,113.59,119.06,98.11,110.36
2018-11-24,110.26,125.99,106.81,121.24
2018-11-23,121.33,125.14,116.18,123.39
2018-11-22,123.4,136.6,122.42,134.78
2018-11-21,134.44,137.46,122.37,127.76
2018-11-20,127.36,149.35,121.61,145.22
2018-11-19,145.31,175.95,142.27,175.95
2018-11-18,175.99,179.95,172.15,172.53
2018-11-17,172.4,176.0,170.45,172.62
2018-11-16,172.11,179.41,169.25,178.47
2018-11-15,178.6,181.0,165.14,178.08
2018-11-14,178.04,204.83,165.01,203.11
2018-11-13,203.43,208.83,202.71,208.64
2018-11-12,208.83,211.25,206.92,209.45
2018-11-11,210.03,211.2,206.11,210.62
2018-11-10,210.38,212.5,207.6,207.81
2018-11-09,208.05,212.27,206.01,210.1
2018-11-08,210.14,218.15,209.27,216.4
2018-11-07,216.6,222.98,215.29,218.55
2018-11-06,218.24,219.07,206.96,208.58
2018-11-05,208.81,212.0,205.04,210.47
2018-11-04,210.28,217.21,197.61,198.34
2018-11-03,198.78,200.2,197.95,199.93
2018-11-02,199.9,201.49,197.46,197.77
2018-11-01,197.73,198.56,195.96,196.7
2018-10-31,196.68,199.16,191.65,195.3
2018-10-30,195.3,196.69,192.96,194.2
2018-10-29,194.14,202.77,191.37,202.44
2018-10-28,202.44,203.16,200.8,201.42
2018-10-27,201.26,201.97,199.92,200.74
2018-10-26,200.69,204.27,198.54,199.67
2018-10-25,199.66,200.89,197.88,200.6
2018-10-24,200.67,202.84,200.0,200.87
2018-10-23,200.96,202.1,197.65,201.0
2018-10-22,201.23,203.24,199.33,202.14
2018-10-21,202.19,206.21,201.08,202.33
2018-10-20,202.59,206.0,198.84,200.01
2018-10-19,200.08,202.1,197.27,198.97
2018-10-18,199.29,205.95,196.63,203.7
2018-10-17,203.41,206.4,200.99,205.61
