day,price_close,price_high,price_low,price_open
2018-12-01,32.02,32.35,31.02,31.7
2018-11-30,31.66,34.1,30.64,33.62
2018-11-29,33.55,35.37,32.75,34.41
2018-11-28,34.32,36.0,30.69,30.83
2018-11-27,30.81,31.28,28.15,29.02
2018-11-26,29.09,31.78,27.61,30.47
2018-11-25,30.43,32.0,26.31,28.6
2018-11-24,28.59,32.96,27.78,31.87
2018-11-23,31.77,32.76,30.35,31.36
2018-11-22,31.3,34.6,31.19,34.28
2018-11-21,34.29,34.36,31.06,32.25
2018-11-20,32.3,37.56,30.22,35.84
2018-11-19,35.81,41.78,35.0,41.78
2018-11-18,41.83,42.96,41.5,41.64
2018-11-17,41.59,41.82,41.13,41.79
2018-11-16,41.82,43.55,41.35,43.4
2018-11-15,43.28,43.79,39.53,42.68
2018-11-14,42.68,49.87,40.18,48.76
2018-11-13,48.89,50.41,48.31,50.18
2018-11-12,50.28,51.35,49.93,50.83
2018-11-11,50.65,52.01,49.33,51.75
2018-11-10,51.69,52.28,51.27,51.47
2018-11-09,51.69,52.43,51.11,52.01
2018-11-08,52.0,54.42,51.83,53.74
2018-11-07,53.87,56.44,53.13,55.88
2018-11-06,55.91,56.14,53.38,53.52
2018-11-05,53.49,54.74,52.68,54.01
2018-11-04,54.02,55.88,50.22,50.72
2018-11-03,50.57,51.14,50.3,50.98
2018-11-02,50.99,51.66,50.04,50.05
2018-11-01,50.19,50.37,49.35,49.52
2018-10-31,49.37,50.18,47.59,48.87
2018-10-30,48.96,49.15,48.36,48.45
2018-10-29,48.54,51.59,47.39,51.44
2018-10-28,51.54,51.7,51.11,51.48
2018-10-27,51.49,51.84,51.24,51.71
2018-10-26,51.67,52.31,51.12,51.77
2018-10-25,51.85,52.04,51.52,51.94
2018-10-24,51.87,52.76,51.72,52.12
2018-10-23,52.1,52.6,51.3,51.79
2018-10-22,51.65,52.53,51.44,52.16
2018-10-21,52.16,53.27,52.0,52.87
2018-10-20,52.76,53.03,51.95,52.34
2018-10-19,52.38,53.14,51.44,51.79
2018-10-18,51.77,53.42,51.02,52.9
2018-10-17,52.8,53.23,52.1,53.07
2018-10-16,53.05,54.07,52.45,53.6
2018-10-15,53.42,57.02,50.91,51.28
2018-10-14,51.17,53.32,50.88,52.73
2018-10-13,52.68,53.99,52.37,52.62
2018-10-12,52.92,53.36,49.95,50.65
2018-10-11,50.65,57.47,49.72,57.41
2018-10-10,57.38,58.45,56.77,58.42
2018-10-09,58.35,59.37,57.84,59.19
2018-10-08,59.12,59.81,57.23,57.88
2018-10-07,58.0,58.25,56.44,57.69
2018-10-06,57.87,58.73,56.69,58.53
